Time,Demand_Percentage(%),Prediction_Horizon(min),CAV_Penetration(%),Eco_Routing_with_Travel_Time(0/1),Overall_Travel_Time_Avg(s),Overall_Fuel_Used_Avg(gallon),Overall_Electricity_Used_Avg(kWh),Overall_Fuel_Cost_Avg($),Overall_Electricity_Cost_Avg($),Total_Number_of_Vehicles,Travel_Time_ICE_Avg(s),Travel_Time_ICE_NONCAV_Avg(s),Travel_Time_BEV_Avg(s),Travel_Time_BEV_NONCAV_Avg(s),Travel_Time_PHEV_Avg(s),Travel_Time_PHEV_NONCAV_Avg(s),Travel_Time_HFCV_Avg(s),Travel_Time_HFCV_NONCAV_Avg(s),Fuel_Used_ICE_Avg(gallon),Fuel_Used_ICE_NONCAV_Avg(gallon),Fuel_Used_BEV_Avg(gallon),Fuel_Used_BEV_NONCAV_Avg(gallon),Fuel_Used_PHEV_Avg(gallon),Fuel_Used_PHEV_NONCAV_Avg(gallon),Fuel_Used_HFCV_Avg(gallon),Fuel_Used_HFCV_NONCAV_Avg(gallon),Electricity_Used_ICE_Avg(kWh),Electricity_Used_ICE_NONCAV_Avg(kWh),Electricity_Used_BEV_Avg(kWh),Electricity_Used_BEV_NONCAV_Avg(kWh),Electricity_Used_PHEV_Avg(kWh),Electricity_Used_PHEV_NONCAV_Avg(kWh),Electricity_Used_HFCV_Avg(kWh),Electricity_Used_HFCV_NONCAV_Avg(kWh),Vehicle_Count_ICE,Vehicle_Count_ICE_NONCAV,Vehicle_Count_BEV,Vehicle_Count_BEV_NONCAV,Vehicle_Count_PHEV,Vehicle_Count_PHEV_NONCAV,Vehicle_Count_HFCV,Vehicle_Count_HFCV_NONCAV
2.02307E+13,100,0,0,0,652.795,0.165706,0.0644765,0.57997,482.091,29908,0,652.783,0,648.946,0,659.634,0,651.697,0,0.176713,0,0,0,2.48E-06,0,0,0,0,0,0.984905,0,1.11644,0,1.02156,0,28045,0,933,0,626,0,304
2.02307E+13,100,0,10,0,638.186,0.164718,0.0658124,0.576514,492.276,29920,607.847,639.144,734.453,658.927,673.258,681.341,522.452,691.778,0.176539,0.175595,0,0,0,1.12E-06,0,0,0,0,1.02661,0.990177,0.912183,1.19179,0.840143,1.02033,2930,25121,95,822,62,575,31,284
2.02307E+13,100,3,10,0,636.209,0.164647,0.0648797,0.576265,484.862,29893,605.516,637.303,763.842,658.672,569.339,672.989,505.323,703.479,0.176879,0.175419,0,0,3.48E-06,2.80E-06,0,0,0,0,1.03866,0.976031,0.966818,1.17832,0.872107,0.998616,2924,25109,95,819,62,571,31,282
2.02307E+13,100,5,10,0,633.908,0.164048,0.0655784,0.574167,490.133,29896,606.932,634.227,733.084,658.266,638.033,683.239,475.548,696,0.176119,0.174821,0,0,0,1.72E-06,0,0,0,0,1.05711,0.992637,0.895529,1.17656,0.848105,1.02473,2917,25115,95,819,61,573,31,285
2.02307E+13,100,10,10,0,644.104,0.165159,0.064868,0.578056,480.931,29656,617.329,644.604,800.4,673.52,555.016,683.502,506.903,694.69,0.177333,0.175953,0,0,0,2.67E-06,0,0,0,0,0.984292,0.975451,0.911856,1.1836,0.886652,1.02955,2902,24912,95,811,62,566,31,277
2.02307E+13,100,0,20,0,643.561,0.165832,0.0638806,0.580411,483.608,30282,617.729,650.081,698.646,646.518,544.085,670.727,667.11,571.564,0.176126,0.176748,0,0,8.80E-07,1.79E-06,0,0,0,0,0.936291,1.00321,1.0129,1.16743,1.06744,1.02391,5738,22694,198,734,118,491,82,227
2.02307E+13,100,3,20,0,650.225,0.16653,0.0641083,0.582854,484.306,30218,626.638,656.057,691.051,654.787,567.983,676.216,641.902,603.307,0.176836,0.177483,0,0,8.43E-07,1.42E-06,0,0,0,0,0.95494,0.997835,1.05134,1.16315,1.06862,1.05599,5732,22642,198,734,118,487,82,225
2.02307E+13,100,5,20,0,648.312,0.166341,0.063754,0.582193,482.49,30272,622.467,655.36,681.497,651.51,547.205,658.284,661.951,584.101,0.176637,0.177263,0,0,0,2.80E-06,0,0,0,0,0.93983,0.99533,1.01911,1.16336,1.08453,1.04853,5740,22687,197,732,117,490,82,227
2.02307E+13,100,10,20,0,646.395,0.166223,0.0641606,0.581781,484.878,30229,619.119,653.368,666.182,648.655,586.797,655.627,706.427,603.595,0.17641,0.177208,0,0,8.49E-07,3.23E-06,0,0,0,0,0.982103,0.995835,1.02442,1.16785,1.07652,1.02954,5728,22653,198,733,118,490,82,227
